Schema_Type,Name_Length,Name_Component_Length,Number_of_Publications,Schema_Size
Vans,3,2,6,278
Vans,3,2,7,316
Vans,3,2,8,354
Vans,3,2,9,394
Vans,3,2,10,428
Vans,3,2,11,468
Vans,3,2,12,508
Vans,3,2,13,540
Vans,3,2,14,582
Vans,3,2,15,622
Simplified,3,2,1,55
Simplified,3,2,2,71
Simplified,3,2,3,87
Simplified,3,2,4,103
Simplified,3,2,5,119
Simplified,3,2,6,135
Simplified,3,2,7,151
Simplified,3,2,8,167
Simplified,3,2,9,183
Simplified,3,2,10,199
Simplified,3,2,11,221
Simplified,3,2,12,231
Simplified,3,2,13,279
Simplified,3,2,14,265
Simplified,3,2,15,281
NC,3,2,1,34
NC,3,2,2,46
NC,3,2,3,58
NC,3,2,4,70
NC,3,2,5,82
NC,3,2,6,94
NC,3,2,7,106
NC,3,2,8,118
NC,3,2,9,130
NC,3,2,10,142
NC,3,2,11,154
NC,3,2,12,166
NC,3,2,13,178
NC,3,2,14,190
NC,3,2,15,202
Vans,3,3,1,90
Vans,3,3,2,130
Vans,3,3,3,170
Vans,3,3,4,210
Vans,3,3,5,250
Vans,3,3,6,292
Vans,3,3,7,332
Vans,3,3,8,372
Vans,3,3,9,412
Vans,3,3,10,452
Vans,3,3,11,492
Vans,3,3,12,532
Vans,3,3,13,572
Vans,3,3,14,612
Vans,3,3,15,652
Simplified,3,3,1,59
Simplified,3,3,2,77
Simplified,3,3,3,95
Simplified,3,3,4,113
Simplified,3,3,5,131
Simplified,3,3,6,149
Simplified,3,3,7,167
Simplified,3,3,8,185
Simplified,3,3,9,203
Simplified,3,3,10,221
Simplified,3,3,11,239
Simplified,3,3,12,259
Simplified,3,3,13,283
Simplified,3,3,14,295
Simplified,3,3,15,313
NC,3,3,1,38
NC,3,3,2,54
NC,3,3,3,70
NC,3,3,4,86
NC,3,3,5,102
NC,3,3,6,118
NC,3,3,7,134
NC,3,3,8,150
NC,3,3,9,166
NC,3,3,10,182
NC,3,3,11,198
NC,3,3,12,214
NC,3,3,13,230
NC,3,3,14,246
NC,3,3,15,264
Vans,3,4,1,94
Vans,3,4,2,136
Vans,3,4,3,178
Vans,3,4,4,220
Vans,3,4,5,264
Vans,3,4,6,306
Vans,3,4,7,348
Vans,3,4,8,390
Vans,3,4,9,432
Vans,3,4,10,474
Vans,3,4,11,516
Vans,3,4,12,558
Vans,3,4,13,600
Vans,3,4,14,642
Vans,3,4,15,684
Simplified,3,4,1,63
Simplified,3,4,2,83
Simplified,3,4,3,103
Simplified,3,4,4,123
Simplified,3,4,5,143
Simplified,3,4,6,163
Simplified,3,4,7,183
Simplified,3,4,8,203
Simplified,3,4,9,223
Simplified,3,4,10,243
Simplified,3,4,11,265
Simplified,3,4,12,285
Simplified,3,4,13,305
Simplified,3,4,14,325
Simplified,3,4,15,345
NC,3,4,1,41
NC,3,4,2,60
NC,3,4,3,79
NC,3,4,4,98
NC,3,4,5,117
NC,3,4,6,136
NC,3,4,7,155
NC,3,4,8,174
NC,3,4,9,193
NC,3,4,10,212
NC,3,4,11,231
NC,3,4,12,250
NC,3,4,13,271
NC,3,4,14,292
NC,3,4,15,311
Vans,3,5,1,98
Vans,3,5,2,142
Vans,3,5,3,186
Vans,3,5,4,230
Vans,3,5,5,276
Vans,3,5,6,320
Vans,3,5,7,364
Vans,3,5,8,408
Vans,3,5,9,452
Vans,3,5,10,496
Vans,3,5,11,540
Vans,3,5,12,584
Vans,3,5,13,628
Vans,3,5,14,672
Vans,3,5,15,716
Simplified,3,5,1,67
Simplified,3,5,2,89
Simplified,3,5,3,111
Simplified,3,5,4,133
Simplified,3,5,5,155
Simplified,3,5,6,177
Simplified,3,5,7,199
Simplified,3,5,8,221
Simplified,3,5,9,243
Simplified,3,5,10,267
Simplified,3,5,11,289
Simplified,3,5,12,311
Simplified,3,5,13,333
Simplified,3,5,14,355
Simplified,3,5,15,377
NC,3,5,1,44
NC,3,5,2,66
NC,3,5,3,88
NC,3,5,4,110
NC,3,5,5,132
NC,3,5,6,154
NC,3,5,7,176
NC,3,5,8,198
NC,3,5,9,220
NC,3,5,10,242
NC,3,5,11,266
NC,3,5,12,290
NC,3,5,13,312
NC,3,5,14,334
NC,3,5,15,356
Vans,3,6,1,102
Vans,3,6,2,148
Vans,3,6,3,194
Vans,3,6,4,240
Vans,3,6,5,288
Vans,3,6,6,334
Vans,3,6,7,380
Vans,3,6,8,426
Vans,3,6,9,472
Vans,3,6,10,518
Vans,3,6,11,564
Vans,3,6,12,610
Vans,3,6,13,656
Vans,3,6,14,702
Vans,3,6,15,748
Simplified,3,6,1,71
Simplified,3,6,2,95
Simplified,3,6,3,119
Simplified,3,6,4,143
Simplified,3,6,5,167
Simplified,3,6,6,191
Simplified,3,6,7,215
Simplified,3,6,8,239
Simplified,3,6,9,265
Simplified,3,6,10,289
Simplified,3,6,11,313
Simplified,3,6,12,337
Simplified,3,6,13,361
Simplified,3,6,14,385
Simplified,3,6,15,409
NC,3,6,1,47
NC,3,6,2,72
NC,3,6,3,97
NC,3,6,4,122
NC,3,6,5,147
NC,3,6,6,172
NC,3,6,7,197
NC,3,6,8,222
NC,3,6,9,247
NC,3,6,10,274
NC,3,6,11,301
NC,3,6,12,326
NC,3,6,13,351
NC,3,6,14,376
NC,3,6,15,401
Vans,4,2,1,92
Vans,4,2,2,132
Vans,4,2,3,170
Vans,4,2,4,212
Vans,4,2,5,252
Vans,4,2,6,294
Vans,4,2,7,334
Vans,4,2,8,374
Vans,4,2,9,414
Vans,4,2,10,455
Vans,4,2,11,492
Vans,4,2,12,534
Vans,4,2,13,574
Vans,4,2,14,612
Vans,4,2,15,655
Simplified,4,2,1,60
Simplified,4,2,2,77
Simplified,4,2,3,94
Simplified,4,2,4,111
Simplified,4,2,5,128
Simplified,4,2,6,145
Simplified,4,2,7,162
Simplified,4,2,8,179
Simplified,4,2,9,202
Simplified,4,2,10,213
Simplified,4,2,11,236
Simplified,4,2,12,247
Simplified,4,2,13,266
Simplified,4,2,14,283
Simplified,4,2,15,312
NC,4,2,1,38
NC,4,2,2,54
NC,4,2,3,70
NC,4,2,4,86
NC,4,2,5,102
NC,4,2,6,118
