Schema_Type,Name_Length,Name_Component_Length,Number_of_Publications,Schema_Size
Vans,3,2,6,318
Vans,3,2,7,362
Vans,3,2,8,406
Vans,3,2,9,454
Vans,3,2,10,502
Vans,3,2,11,550
Vans,3,2,12,594
Vans,3,2,13,642
Vans,3,2,14,684
Vans,3,2,15,724
Simplified,3,2,1,55
Simplified,3,2,2,79
Simplified,3,2,3,103
Simplified,3,2,4,127
Simplified,3,2,5,151
Simplified,3,2,6,181
Simplified,3,2,7,199
Simplified,3,2,8,229
Simplified,3,2,9,247
Simplified,3,2,10,279
Simplified,3,2,11,297
Simplified,3,2,12,321
Simplified,3,2,13,375
Simplified,3,2,14,369
Simplified,3,2,15,399
NC,3,2,1,34
NC,3,2,2,46
NC,3,2,3,58
NC,3,2,4,70
NC,3,2,5,82
NC,3,2,6,94
NC,3,2,7,106
NC,3,2,8,118
NC,3,2,9,130
NC,3,2,10,142
NC,3,2,11,154
NC,3,2,12,166
NC,3,2,13,178
NC,3,2,14,190
NC,3,2,15,202
Vans,3,3,1,90
Vans,3,3,2,140
Vans,3,3,3,190
Vans,3,3,4,237
Vans,3,3,5,292
Vans,3,3,6,342
Vans,3,3,7,392
Vans,3,3,8,442
Vans,3,3,9,492
Vans,3,3,10,542
Vans,3,3,11,592
Vans,3,3,12,642
Vans,3,3,13,692
Vans,3,3,14,742
Vans,3,3,15,796
Simplified,3,3,1,59
Simplified,3,3,2,87
Simplified,3,3,3,115
Simplified,3,3,4,143
Simplified,3,3,5,171
Simplified,3,3,6,199
Simplified,3,3,7,227
Simplified,3,3,8,257
Simplified,3,3,9,285
Simplified,3,3,10,313
Simplified,3,3,11,341
Simplified,3,3,12,369
Simplified,3,3,13,397
Simplified,3,3,14,431
Simplified,3,3,15,453
NC,3,3,1,38
NC,3,3,2,54
NC,3,3,3,70
NC,3,3,4,86
NC,3,3,5,102
NC,3,3,6,118
NC,3,3,7,134
NC,3,3,8,150
NC,3,3,9,166
NC,3,3,10,182
NC,3,3,11,198
NC,3,3,12,214
NC,3,3,13,230
NC,3,3,14,246
NC,3,3,15,264
Vans,3,4,1,94
Vans,3,4,2,148
Vans,3,4,3,202
Vans,3,4,4,258
Vans,3,4,5,312
Vans,3,4,6,366
Vans,3,4,7,420
Vans,3,4,8,474
Vans,3,4,9,528
Vans,3,4,10,582
Vans,3,4,11,636
Vans,3,4,12,690
Vans,3,4,13,746
Vans,3,4,14,798
Vans,3,4,15,858
Simplified,3,4,1,63
Simplified,3,4,2,95
Simplified,3,4,3,127
Simplified,3,4,4,159
Simplified,3,4,5,191
Simplified,3,4,6,223
Simplified,3,4,7,257
Simplified,3,4,8,289
Simplified,3,4,9,321
Simplified,3,4,10,353
Simplified,3,4,11,385
Simplified,3,4,12,417
Simplified,3,4,13,449
Simplified,3,4,14,481
Simplified,3,4,15,517
NC,3,4,1,41
NC,3,4,2,60
NC,3,4,3,79
NC,3,4,4,98
NC,3,4,5,117
NC,3,4,6,136
NC,3,4,7,155
NC,3,4,8,174
NC,3,4,9,193
NC,3,4,10,212
NC,3,4,11,231
NC,3,4,12,250
NC,3,4,13,271
NC,3,4,14,292
NC,3,4,15,311
Vans,3,5,1,98
Vans,3,5,2,156
Vans,3,5,3,214
Vans,3,5,4,274
Vans,3,5,5,332
Vans,3,5,6,390
Vans,3,5,7,448
Vans,3,5,8,506
Vans,3,5,9,564
Vans,3,5,10,622
Vans,3,5,11,680
Vans,3,5,12,742
Vans,3,5,13,806
Vans,3,5,14,872
Vans,3,5,15,936
Simplified,3,5,1,67
Simplified,3,5,2,103
Simplified,3,5,3,139
Simplified,3,5,4,175
Simplified,3,5,5,211
Simplified,3,5,6,247
Simplified,3,5,7,285
Simplified,3,5,8,321
Simplified,3,5,9,357
Simplified,3,5,10,393
Simplified,3,5,11,429
Simplified,3,5,12,467
Simplified,3,5,13,511
Simplified,3,5,14,555
Simplified,3,5,15,599
NC,3,5,1,44
NC,3,5,2,66
NC,3,5,3,88
NC,3,5,4,110
NC,3,5,5,132
NC,3,5,6,154
NC,3,5,7,176
NC,3,5,8,198
NC,3,5,9,220
NC,3,5,10,242
NC,3,5,11,266
NC,3,5,12,290
NC,3,5,13,312
NC,3,5,14,334
NC,3,5,15,356
Vans,3,6,1,102
Vans,3,6,2,164
Vans,3,6,3,226
Vans,3,6,4,290
Vans,3,6,5,352
Vans,3,6,6,414
Vans,3,6,7,476
Vans,3,6,8,538
Vans,3,6,9,600
Vans,3,6,10,664
Vans,3,6,11,734
Vans,3,6,12,802
Vans,3,6,13,872
Vans,3,6,14,942
Vans,3,6,15,1012
Simplified,3,6,1,71
Simplified,3,6,2,111
Simplified,3,6,3,151
Simplified,3,6,4,191
Simplified,3,6,5,231
Simplified,3,6,6,273
Simplified,3,6,7,313
Simplified,3,6,8,353
Simplified,3,6,9,393
Simplified,3,6,10,435
Simplified,3,6,11,483
Simplified,3,6,12,531
Simplified,3,6,13,579
Simplified,3,6,14,627
Simplified,3,6,15,675
NC,3,6,1,47
NC,3,6,2,72
NC,3,6,3,97
NC,3,6,4,122
NC,3,6,5,147
NC,3,6,6,172
NC,3,6,7,197
NC,3,6,8,222
NC,3,6,9,247
NC,3,6,10,274
NC,3,6,11,301
NC,3,6,12,326
NC,3,6,13,351
NC,3,6,14,376
NC,3,6,15,401
Vans,4,2,1,92
Vans,4,2,2,144
Vans,4,2,3,196
Vans,4,2,4,248
Vans,4,2,5,298
Vans,4,2,6,348
Vans,4,2,7,406
Vans,4,2,8,454
Vans,4,2,9,519
Vans,4,2,10,562
Vans,4,2,11,607
Vans,4,2,12,664
Vans,4,2,13,719
Vans,4,2,14,760
Vans,4,2,15,823
Simplified,4,2,1,60
Simplified,4,2,2,89
Simplified,4,2,3,118
Simplified,4,2,4,147
Simplified,4,2,5,176
Simplified,4,2,6,205
Simplified,4,2,7,234
Simplified,4,2,8,265
Simplified,4,2,9,300
Simplified,4,2,10,323
Simplified,4,2,11,358
Simplified,4,2,12,381
Simplified,4,2,13,416
Simplified,4,2,14,439
Simplified,4,2,15,468
NC,4,2,1,38
NC,4,2,2,54
NC,4,2,3,70
NC,4,2,4,86
NC,4,2,5,102
NC,4,2,6,118
NC,4,2,7,134
NC,4,2,8,150
NC,4,2,9,166
NC,4,2,10,182
NC,4,2,11,198
NC,4,2,12,214
NC,4,2,13,230
NC,4,2,14,246
NC,4,2,15,264
Vans,4,3,1,97
Vans,4,3,2,154
Vans,4,3,3,211
Vans,4,3,4,270
Vans,4,3,5,327
Vans,4,3,6,384
Vans,4,3,7,444
Vans,4,3,8,498
Vans,4,3,9,555
Vans,4,3,10,609
Vans,4,3,11,672
Vans,4,3,12,726
Vans,4,3,13,783
Vans,4,3,14,840
Vans,4,3,15,900
Simplified,4,3,1,65
Simplified,4,3,2,99
Simplified,4,3,3,133
Simplified,4,3,4,167
Simplified,4,3,5,201
Simplified,4,3,6,235
Simplified,4,3,7,271
Simplified,4,3,8,305
Simplified,4,3,9,339
Simplified,4,3,10,373
